EAN13,DESCRICAO,CODIGO
7500435214650,ABS. ALWAYS C/26 NOTURNO XG C/AB GTS 4UN,2190150
7506339325263,ABS. ALWAYS C/32 NOTURNO SECA L+P-,1639650
7896104993835,ABS. MILI C/16 C/ABAS L+P-              ,2268396
7896104993880,ABS. MILI C/16 NOTURNO C/ABAS           ,2268361
7896104992494,ABS. MILI C/32 C/ABAS L+P-              ,2268400
7896104992777,ABS. MILI C/32 NOTURNO C/ABAS L+P-      ,2268370
7506339326031,ABS.ALWAYS C/16 NOT.SUAVE C/ABAS L+P-,1686518
7506339325249,ABS.ALWAYS C/16 NOTURNO SECA C/ABAS L+P-,1632647
7500435127233,ABS.ALWAYS C/16 SUP.PR.SECA C/ABAS L+P-,1563866
7500435127257,ABS.ALWAYS C/16 SUP.PR.SUAVE C/ABAS L+P-,1563874
7500435127288,ABS.ALWAYS C/32 SUP.PR.SECA C/ABAS L+P-,1588680
7500435126199,ABS.ALWAYS C/32 SUP.PR.SUAVE C/ABAS L+P-,1835645
7506339394535,ABS.ALWAYS C/8 NOTURNO SECO C/ABAS      ,1689436
7506339394603,ABS.ALWAYS C/8 NOTURNO SUAVE C/ABAS     ,1895214
7500435127264,ABS.ALWAYS C/8 SUP.PR.SECA S/ABAS,1463098
7500435127240,ABS.ALWAYS C/8 SUP.PR.SUAVE C/ABAS      ,1677527
7896007551019,ABS.INTIMUS C/14 ANTIB.ULT.FINO C/ABAS,1981919
7896007545094,ABS.INTIMUS C/16 EX.SUAVE C/ABAS L+P-   ,1558005
7896007550883,ABS.INTIMUS C/16 NOT.SUAVE C/ABAS L+P-,1962310
7896007545100,ABS.INTIMUS C/16 SECA C/ABAS L+P-       ,1558013
7896007551026,ABS.INTIMUS C/28 ANTIB.ULT.F.C/ABAS L+P-,1981927
7896007550906,ABS.INTIMUS C/30 NOT.SECA C/ABAS L+P-,1960814
7896007550890,ABS.INTIMUS C/30 NOT.SUAVE C/ABAS L+P-,1960784
7896007544042,ABS.INTIMUS C/32 T.PR.EX.SUA.C/ABAS L+P-,1632388
7896007544059,ABS.INTIMUS C/32 TR.PRO.SECA C/ABAS L+P-,1662660
7896007540662,ABS.INTIMUS C/8 NOTURNO SUAVE C/ABAS,660442
7896007540617,ABS.INTIMUS C/8 TR.PROT.EXT.SUAVE C/ABAS,660418
7896007540600,ABS.INTIMUS C/8 TR.PROT.EXT.SUAVE S/ABAS,660400
7896007552498,ABS.POISE C/14 ESC.URINA S/ABAS PR.LONGO,2302080
7896007553303,ABS.POISE C/8 ESC.URINA C/ABAS DISCRETO ,2302071
7896007553327,ABS.POISE C/8 ESC.URINA C/ABAS NOTURNO  ,2302098
7891010793463,ABS.SEMPRE LIVRE C/16 ADA.SU.C/ABAS L+P-,1352016
7891010579616,ABS.SEMPRE LIVRE C/16 AD.P.SU.C/ABA L+P-,1600923
7891010607135,ABS.SEMPRE LIVRE C/16 C.NOT SU.C/AB L+P-,1860283
7891010254155,ABS.SEMPRE LIVRE C/32 ADA.SU.C/ABAS L+P-,2058855
7891010704780,ABS.SEMPRE LIVRE C/32 AD.P.SU.C/ABA L+P-,1860275
7891010697518,ABS.SEMPRE LIVRE C/32 C.NO SEC.C/AB L+P-,2197693
7891010518844,ABS.SEMPRE LIVRE C/32 C.NOT SU.C/AB L+P-,1716905
7891010031633,ABS.SEMPRE LIVRE C/8 ADAPT PL.SUA.C/ABAS,660493
7891010503024,ABS.SEMPRE LIVRE C/8 ADAPT SUAVE C/ABAS,660760
7891010503031,ABS.SEMPRE LIVRE C/8 ADAPT SUAVE S/ABAS,1706888
7891010694593,ABS.SEMPRE LIVRE C/8 C.NOT SECA C/ABAS  ,1704192
7891010035631,ABS.SEMPRE LIVRE C/8 C.NOT SUAVE C/ABAS ,660612
7896110010786,ABS.SYM C/16 SUAVE C/ABAS L+P-          ,2160404
7896110010939,ABS.SYM PREM. C/30 NOT.SUAVE C/ABAS L+P-,2160390
7896110010748,ABS.SYM T.PR. C/30 NOT.SUAVE C/ABAS L+P-,2304139
7896007542864,ABSORVENTE INTIMUS C/16 INT.MEDIO L+P-  ,1662678
7896007542857,ABSORVENTE INTIMUS C/16 INT.MINI L+P-   ,1662686
7896007542871,ABSORVENTE INTIMUS C/16 INT.SUPER L+P-  ,1662872
7896007541867,ABSORVENTE INTIMUS C/8 INTERNO MEDIO    ,661317
7896007541850,ABSORVENTE INTIMUS C/8 INTERNO MINI     ,661295
7896007541874,ABSORVENTE INTIMUS C/8 INTERNO SUPER    ,661309
7896104991831,ABSORVENTE MILI C/16 INTERNO MEDIO      ,2311275
7896104991855,ABSORVENTE MILI C/16 INTERNO MINI       ,2311283
7896104991817,ABSORVENTE MILI C/16 INTERNO SUPER      ,2311291
7896104991848,ABSORVENTE MILI C/8 INTERNO MEDIO       ,2311240
7896104991862,ABSORVENTE MILI C/8 INTERNO MINI        ,2311259
7896104991824,ABSORVENTE MILI C/8 INTERNO SUPER       ,2311267
7891010245085,ABSORVENTE OB C/16 INTERNO PROC.MED.L+P-,1891871
7891010245092,ABSORVENTE OB C/16 INTERNO PROC.SUP.L+P-,1891863
BUFALO              ,ACAI BUFALO 1,2165740
